ols,ridge,lasso,elastic,knn_5,knn_10,knn_15
0.0,0.0,0.349686193405931,0.3613772237121499,0.0,0.13992582735757528,0.1490107555243437
0.08288363476014073,0.08085977095607363,0.29059602441929994,0.28545684588178627,0.0,0.2602037239826995,0.0
0.0,0.0,0.3537300911632673,0.30998600349956645,0.1519283919549705,0.0,0.18435551338219566
0.08884620198495857,0.08913087877110626,0.29827838409572105,0.30055811841456864,0.1408039972088933,0.0387928413052943,0.043589578219457935
0.18937231569844826,0.0,0.0,0.7600450026885638,0.0,0.05058268161298792,0.0
0.19545189886604042,0.1474631580043373,0.584778303566647,0.0,0.023180409665925522,0.042183847569718075,0.006942382327331796
0.16106151899154986,0.14917896241150322,0.23853640494272596,0.2968987024548028,0.15432441119941795,0.0,0.0
0.11947979599979552,0.11586939216594597,0.2875863083465932,0.2545645273143231,0.07008365510410017,0.0,0.1524163210692419
0.15383688636676954,0.0,0.0,0.7897088043981101,0.0,0.05645430923512034,0.0
0.0,0.0,0.0,0.9156762996480887,0.02195181233881907,0.0,0.062371888013092285
0.0,0.0,0.334949239644642,0.251344722699997,0.0,0.0845630516533169,0.3291429860020441
0.2692952262998742,0.2086677994169635,0.5115055047779152,0.0,0.0,0.0,0.010531469505247033
0.07422709275072578,0.0,0.7754921889402148,0.0,0.023126963798072067,0.09676169280892657,0.030392061702060796
0.15374577822900065,0.1531612470267852,0.23463910073225114,0.23806887076262004,0.09289349979735076,0.0,0.12749150345199214
0.12545310227754794,0.12830516192288743,0.37460775375979843,0.28173807453718414,0.026406887469874626,0.0,0.06348902003270741
0.06557339595923148,0.059054856843455385,0.2588843993433819,0.2135068168124017,0.11023054586174769,0.0,0.29274998517978185
0.02528656079034555,0.014481977516624557,0.3528736211404382,0.2844558358834881,0.03196171847897318,0.21402367502881164,0.07691661116131875
0.0,0.0,0.0,0.9513910399813087,0.0,0.04362720964381267,0.004981750374878617
